dataid,local_15min,use,air1,air2,air3,airwindowunit1,aquarium1,bathroom1,bathroom2,bedroom1,bedroom2,bedroom3,bedroom4,bedroom5,car1,clotheswasher1,clotheswasher_dryg1,diningroom1,diningroom2,dishwasher1,disposal1,drye1,dryg1,freezer1,furnace1,furnace2,garage1,garage2,gen,grid,heater1,housefan1,icemaker1,jacuzzi1,kitchen1,kitchen2,kitchenapp1,kitchenapp2,lights_plugs1,lights_plugs2,lights_plugs3,lights_plugs4,lights_plugs5,lights_plugs6,livingroom1,livingroom2,microwave1,office1,outsidelights_plugs1,outsidelights_plugs2,oven1,oven2,pool1,pool2,poollight1,poolpump1,pump1,range1,refrigerator1,refrigerator2,security1,shed1,sprinkler1,utilityroom1,venthood1,waterheater1,waterheater2,winecooler1
9737,1/30/2013 9:30,,,,,,,,,,,,,,,0,,0,,0.0008,,,,,0.034533333,0.009,0.231933333,,,,,,0.049733333,,,,,,0.0026,,,,,,0,,,,0,,,,,,,,,,,,,,,0,,,,
9737,1/30/2013 9:15,,,,,,,,,,,,,,,0,,0,,0.000666667,,,,,0.034533333,0.008866667,0.233066667,,,,,,0.0024,,,,,,0.003,,,,,,0.012666667,,,,0,,,,,,,,,,,,,,,0,,,,
9737,1/30/2013 9:00,,,,,,,,,,,,,,,0,,0,,0.005,,,,,0.034733333,0.008,0.2342,,,,,,0.046733333,,,,,,0.0026,,,,,,0.101266667,,,,0,,,,,,,,,,,,,,,0,,,,
9737,1/30/2013 8:45,,,,,,,,,,,,,,,0,,0,,0.004933333,,,,,0.0348,0.008,0.251466667,,,,,,0,,,,,,0.0028,,,,,,0.1012,,,,0,,,,,,,,,,,,,,,0,,,,
9737,1/30/2013 8:30,,,,,,,,,,,,,,,0,,0,,0.005333333,,,,,0.034733333,0.008,0.254266667,,,,,,0.047266667,,,,,,0.0026,,,,,,0.1012,,,,0,,,,,,,,,,,,,,,0,,,,
9737,1/30/2013 8:15,,,,,,,,,,,,,,,0,,0,,0.006,,,,,0.0348,0.008,0.2356,,,,,,0.003133333,,,,,,0.003,,,,,,0.101133333,,,,0,,,,,,,,,,,,,,,0,,,,
9737,1/30/2013 8:00,,,,,,,,,,,,,,,0,,0,,0.006,,,,,0.034733333,0.008,0.237266667,,,,,,0.047666667,,,,,,0.003133333,,,,,,0.101066667,,,,0,,,,,,,,,,,,,,,0,,,,
9737,1/30/2013 7:45,,,,,,,,,,,,,,,0,,0,,0.006,,,,,0.035066667,0.0076,0.2718,,,,,,0.003133333,,,,,,0.0026,,,,,,0.232266667,,,,0,,,,,,,,,,,,,,,0,,,,
9737,1/30/2013 7:30,,,,,,,,,,,,,,,0,,0,,0.006333333,,,,,0.035333333,0.007,0.276933333,,,,,,0.046533333,,,,,,0.0012,,,,,,0.4518,,,,0,,,,,,,,,,,,,,,0,,,,
9737,1/30/2013 7:15,,,,,,,,,,,,,,,0,,0,,0.038933333,,,,,0.034733333,0.007,0.2722,,,,,,0.004,,,,,,0,,,,,,0.2832,,,,0,,,,,,,,,,,,,,,0,,,,
